",""nest_id"",""nestbox"",""plot"",""tree_species_composition"",""fragment_area"",""edge_density"",""breeding_season"",""species"",""id_male"",""id_female"",""laying_date"",""clutch_size"",""collected_Egg"",""hatchling_number"",""Fledgling_number"",""frass"""
"77,""2016_25_4"",""25_4"",25,""QrobQrub"",19.2985,1495.375256,2016,""Parusmajor"",""57V84731"",NA,2016-04-07,9,0,7,7,0.520697024"
"78,""2015_1_1"",""1_1"",1,""QrobQrub"",25.3573,2932.399184,2015,""Parusmajor"",""57V84734"",NA,2015-04-15,6,1,5,4,NA"
"79,""2016_1_2"",""1_2"",1,""QrobQrub"",25.3573,2932.399184,2016,""Parusmajor"",""57V84734"",""59V39808"",2016-04-19,7,0,7,0,0.056909762"
"80,""2015_38_4"",""38_4"",38,""threespec"",46.6448,1588.065265,2015,""Parusmajor"",""57V84735"",""57V84736"",2015-04-12,8,1,7,7,NA"
"81,""2015_47_3"",""47_3"",47,""Qrob"",18.7863,2059.032457,2015,""Parusmajor"",""57V84737"",NA,2015-04-13,9,1,7,6,NA"
"82,""2015_31_4"",""31_4"",31,""Qrob"",9.2077,1255.846088,2015,""Parusmajor"",""57V84739"",""57V84743"",2015-04-10,7,0,6,6,NA"
"83,""2015_38_1"",""38_1"",38,""threespec"",46.6448,1588.065265,2015,""Parusmajor"",""57V84740"",""57V84724"",2015-04-14,11,1,10,10,NA"
"84,""2015_32_2"",""32_2"",32,""QrobQrub"",35.4919,2006.642238,2015,""Parusmajor"",""57V84744"",NA,2015-04-12,11,2,9,0,NA"
"85,""2015_34_4"",""34_4"",34,""QrobQrub"",35.4919,2128.950818,2015,""Parusmajor"",""57V84745"",""57V84746"",2015-04-13,8,1,7,6,NA"
"86,""2015_1_4"",""1_4"",1,""QrobQrub"",25.3573,2932.399184,2015,""Parusmajor"",""57V84748"",""57V84733"",2015-04-09,9,1,8,8,NA"
"87,""2015_31_3"",""31_3"",31,""Qrob"",9.2077,1255.846088,2015,""Parusmajor"",""57V84751"",""57V84741"",2015-04-12,8,1,7,7,NA"
"88,""2015_48_4"",""48_4"",48,""Qrob"",18.7863,1741.376164,2015,""Parusmajor"",""57V84752"",""57V84755"",2015-04-11,8,1,7,0,NA"
"89,""2015_48_1"",""48_1"",48,""Qrob"",18.7863,1741.376164,2015,""Parusmajor"",""57V84753"",""57V84754"",2015-04-14,10,1,9,9,NA"
"90,""2015_37_3"",""37_3"",37,""Qrub"",58.3536,1834.147379,2015,""Parusmajor"",""57V84775"",""57V84750"",2015-04-19,7,1,6,3,NA"
"91,""2016_49_1"",""49_1"",49,""QrobQrub"",25.5002,1946.661629,2016,""Parusmajor"",""58V92436"",NA,2016-04-15,8,0,8,7,0.500832302"
"92,""2016_22_2"",""22_2"",22,""Fsyl"",44.1402,2336.669661,2016,""Parusmajor"",""58V92482"",""59V39125"",2016-04-16,9,0,7,7,0.024733413"
"93,""2015_49_3"",""49_3"",49,""QrobQrub"",25.5002,1946.661629,2015,""Parusmajor"",""58V92536"",NA,2015-04-26,8,1,6,6,NA"
"94,""2015_21_3"",""21_3"",21,""Fsyl"",6.1912,1777.232464,2015,""Parusmajor"",""58V92548"",NA,2015-04-28,7,0,4,3,NA"
"95,""2015_40_3"",""40_3"",40,""Qrub"",46.6448,1756.705971,2015,""Parusmajor"",""58V92596"",NA,2015-04-20,6,1,4,0,NA"
"96,""2015_10_3"",""10_3"",10,""Fsyl"",90.3595,1795.85811,2015,""Parusmajor"",""58V92604"",""58V92613"",2015-04-17,10,1,6,6,NA"
"97,""2015_9_4"",""9_4"",9,""FsylQrob"",90.3595,1331.566955,2015,""Parusmajor"",""58V92610"",""58V92614"",2015-04-25,7,1,5,5,NA"
"98,""2016_9_2"",""9_2"",9,""FsylQrob"",90.3595,1331.566955,2016,""Parusmajor"",""58V92610"",""59V39046"",2016-04-10,9,0,8,8,0.072319576"
"99,""2015_12_3"",""12_3"",12,""FsylQrub"",90.3595,1747.115895,2015,""Parusmajor"",""58V92627"",""58V92953"",2015-04-19,9,1,7,7,NA"
"100,""2015_24_4"",""24_4"",24,""threespec"",44.1402,1106.881143,2015,""Parusmajor"",""58V92649"",""58V92648"",2015-04-15,10,1,9,7,NA"
"101,""2016_24_1"",""24_1"",24,""threespec"",44.1402,1106.881143,2016,""Parusmajor"",""58V92649"",""57V84727"",2016-04-05,11,0,9,9,0.056006976"
"102,""2015_23_2"",""23_2"",23,""FsylQrob"",44.1402,2590.644674,2015,""Parusmajor"",""58V92658"",NA,2015-04-21,10,0,9,5,NA"
